id,proper,x,y,z,mag,ci
12082,268 G. Cet,5.538462,4.488223,0.861013,5.79,0.918
60731,3C 273,-99130.70606,-12660.058622,3581.344963,12.88,0.12
15471,82 G. Eri,2.839238,3.381499,-4.127499,4.26,0.711
3759,96 G. Psc,7.258368,1.555495,0.686093,5.74,0.89
13813,Acamar,26.85749,26.453029,-31.974932,2.88,0.128
7574,Achernar,21.065573,9.568417,-35.951967,0.45,-0.158
3814,Achird,3.098462,0.674227,5.038376,3.46,0.587
78580,Acrab,-55.881427,-102.320756,-41.98604,2.56,-0.065
78581,Acrab B,-55.06152,-100.825111,-41.363651,4.9,-0.024
60530,Acrux,-44.363755,-5.171957,-88.034513,0.77,-0.243
43939,Acubens,-39.690103,40.217629,11.863811,4.26,0.141
50193,Adhafera,-69.409312,33.594777,33.397009,3.43,0.307
33492,Adhara,-27.497987,105.141608,-60.171969,1.5,-0.211
6397,Adhil,43.117698,16.194066,46.916563,4.87,1.077
20837,Ain,16.488448,39.136798,14.772771,3.53,1.014
92471,Ainalrami,74.467326,-309.170538,-133.319898,4.86,1.412
53369,Aiolos,-31.65874,8.921182,-84.220969,7.36,0.23
94186,Aladfar,104.385585,-313.073293,268.637487,4.43,-0.15
89726,Alasia,3.976682,-41.623556,-8.82869,7.95,0.713
93846,Albaldah,43.714239,-139.143552,-56.055078,2.88,0.377
102287,Albali,41.969653,-46.744809,-10.507937,3.78,0.0
95648,Albireo,45.350466,-108.51838,62.430012,3.05,1.088
95652,Albireo B,41.751189,-99.862557,57.467608,5.12,-0.095
59020,Alchiba,-13.557668,-0.497944,-6.248321,4.02,0.334
65272,Alcor,-13.393436,-5.223608,20.521915,3.99,0.169
17661,Alcyone,61.664507,94.489136,50.483636,2.85,-0.086
21368,Aldebaran,7.02722,18.287604,5.806661,0.87,1.538
104861,Alderamin,5.276111,-4.483201,13.348778,2.45,0.257
107742,Aldhanab,43.853581,-26.892269,-39.28078,3.0,-0.084
83638,Aldhibah,-9.178442,-40.388128,91.793254,3.17,-0.12
101095,Aldulfin,61.580495,-77.965441,19.858319,4.03,-0.123
113366,Alfarasalkamil,150.676276,-39.022904,141.757338,3.62,-0.099
105691,Alfirk,55.219515,-42.886719,198.108029,3.23,-0.201
99743,Algedi,17.945333,-26.097385,-7.047505,3.58,0.883
1065,Algenib,115.664183,6.687324,31.442127,2.83,-0.19
50440,Algieba,-34.002797,15.860719,13.53874,2.01,1.128
14540,Algol,14.189428,15.238793,18.072114,2.09,-0.003
60776,Algorab,-25.316094,-3.317674,-7.57057,2.94,-0.012
31601,Alhena,-5.266162,31.714389,9.461403,1.93,0.001
62757,Alioth,-13.775959,-3.309169,20.972944,1.76,-0.022
102157,Aljanah,12.262597,-13.834612,12.455654,2.48,1.021
67088,Alkaid,-18.529548,-9.394541,24.164506,1.85,-0.099
75182,Alkalurops,-17.300377,-21.457918,21.056469,4.31,0.309
75187,Alkalurops B,-17.991461,-22.319858,21.876782,6.51,0.6
44343,Alkaphrah,-53.667801,51.996165,80.572997,3.57,0.007
115258,Alkarab,47.401961,-7.215479,20.75302,4.42,0.617
53584,Alkes,-44.746057,12.036889,-15.32333,4.08,1.079
23361,Almaaz,118.129799,456.518488,452.57303,3.03,0.537
9618,Almach,76.368059,45.840864,81.131974,2.1,1.37
108922,Alnair,18.672505,-9.904001,-22.635193,1.73,-0.07
88361,Alnasl,0.648969,-25.602281,-15.040072,2.98,0.981
26246,Alnilam,62.775122,602.66691,-12.712683,1.69,-0.184
26662,Alnitak,18.918488,224.809409,-7.651875,1.74,-0.199
